State,Region,Symptom,RecommendedFood,Avoid,Nutrients,BloodGroupAdjustment,Season,Tip
Kerala,South,cramps,Finger Millet Idli Ragi,"Non-veg, High salt",Potassium,B+: Emphasize whole grains and vegetables,winter,Hot beverages for warmth
Tamil Nadu,South,cramps,Raw Banana Soup,Lassi,"Phytoestrogens, Fiber",B+: Emphasize whole grains and vegetables,winter,Iron-rich greens
Karnataka,South,cramps,"Ginger tea, Raw Egg Yolk with Sesame Oil, Millets Bajra Porridge",Red meat,Vitamin E,O+: Increase iron intake from leafy greens and lentils,summer,Cucumber for hydration
Andhra Pradesh,South,fatigue,"Dark chocolate, Peppermint water, Sarkkarachoru","Cabbage, High salt","Antioxidants, Calcium, Protein",AB+: Balance with fermented foods,summer,Hydrate with herbal teas
Telangana,South,fatigue,Dark chocolate,"Milk products in excess, Milk",Iron,O+: Increase iron intake from leafy greens and lentils,winter,Hot beverages for warmth
Maharashtra,West,bloating,"Light Fish Curry, Parupu Urundai Toor Dal Balls","Curd, Red meat","Antioxidants, Calcium, Magnesium",B+: Emphasize whole grains and vegetables,winter,Pair with vitamin C fruits
Gujarat,West,heavy bleeding,"Millets Bajra Porridge, Karupettikurukku Black Sesame Preparation","Rice, Potatoes","Calcium, Phytoestrogens, Potassium",B+: Emphasize whole grains and vegetables,summer,Hydration focus
Rajasthan,West,fatigue,"Banana Ragi Roti, Sarkkarachoru, Peppermint water","Red meat, Onion",Vitamins A C B1,B+: Emphasize whole grains and vegetables,winter,Add coconut water for hydration
Madhya Pradesh,Central,bloating,"Ginger tea, Arissi Puttu Rice Flour Coconut, Seem Paal Bovine Colostrum",Sugarcane,Calcium,B+: Emphasize whole grains and vegetables,summer,Hot beverages for warmth
Uttar Pradesh,North,pain,Sesame Seeds Nuts,Spicy foods,"Potassium, Folate, Calcium",AB+: Balance with fermented foods,summer,Cucumber for hydration
Bihar,East,cramps,"Lentils Dal, Raw Egg Yolk with Sesame Oil",High salt,Potassium,A+: Focus on lighter proteins like tofu,winter,Hydration focus
West Bengal,East,cramps,"Uluva Verakiyath Fenugreek Porridge, Millets Bajra Porridge, Cucumber Coconut Water","Cabbage, Carbonated drinks","Fiber, Iron",AB+: Balance with fermented foods,summer,Iron-rich greens
Odisha,East,pain,"Banana Ragi Roti, Palm Jaggery Porridge",Pickles,Vitamins A C B1,AB+: Balance with fermented foods,winter,Hot beverages for warmth
Jharkhand,East,heavy bleeding,"Hot Tea, Spinach Methi Greens, Dal with Greens",High salt,"Vitamin E, Vitamin C, Iron",A+: Focus on lighter proteins like tofu,summer,Hydration focus
